TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
¿DE QUE TRIBU ERES?;ALBERTO MORAVIA;ALTAMAREA;24000;LITERATURA LATINOAMERICANA;
¿PUEDE LA EDUCACION CAMBIAR LA SOCIEDAD?;APPLE  MICHAEL;LOM;12000;ENSAYO;
¿QUÉ ES EL PUEBLO?;BADIOU  ALAIN;LOM;6000;SOCIOLOGIA;
¿QUE ES LA POLITICA?;ARENDT  HANNAH;PAIDÓS;18000;FILOSOFIA;
100 MITOS DE LA CULTURA GENERAL  LAS;ÉRIC COBAST;AKAL;11200;MITOLOGIA;
12 SIGNOS ASTROLOGICOS  LOS;PEREZ  GONZALO;KIER;28800;ASTROLOGIA;
16 CUENTOS LATINOAMERICANOS;CORTAZAR  JULIO;LOM;8600;HISTORIA DE CHILE ;
1899 METAHULLA 1;ORTEGA  FRANCISCO;PLANETA;12000;COMIC;
1945 NAZIS EN CHILOE;VERA SUPERBI  MIGUEL;SIMPLEMENTE;12000;LITERATURA CHILENA;
1959 METAHULLA 2;ORTEGA  FRANCISCO;PLANETA;12000;COMIC;
1978 EL AÑO QUE MARCHAMOS A LA GUERRA;PARVEX  GUILLERMO ;RANDOM HOUSE ;16000;HISTORIA DE CHILE ;
1984;ORWELL  GORGE;DEBOLSILLO;10000;CIENCIA FICCION;
1986 CUENTOS COMPLETOS;REY ROSA  RODRIGO ;ALFAGUARA;18500;LITERATURA UNIVERSAL;
20 POEMAS AL ARBOL Y UN CACTUS DE LA COSTA;NERUDA  PABLO;LIBERALIA;13000;POESIA;
20 POEMAS DE VIDA Y UNA CAMPANA ROTA;NERUDA  PABLO;LIBERALIA;13000;POESIA;
20000 DIEZ RELATOS ESPELUZNANTES;VVAA;LA POLLERA;6000;LITERATURA LATINOAMERICANA;
2666;BOLAÑO  ROBERTO;ALFAGUARA;20000;LITERATURA CHILENA;
A MIL BESOS DE PROFUNIDAD ( 1958 - 1978);COHEN  LEONARD;VISOR LIBROS ;20300;POESIA;
A MIL BESOS DE PROFUNIDAD ( 1979- - 2006);COHEN  LEONARD;VISOR LIBROS ;18000;POESIA;
A RIMBAUD. POESIA COMPLETA;RIMBAUD  ARTHUR;VISOR LIBROS ;20000;POESIA;
A VER QUÉ SE PUEDE HACER?;LORRIE MOORE;ETERNA CADENCIA;19000;ENSAYO;
ABRIRAN LAS GRANDES ALAMEDAS;SALVADOR ALLENDE;LOM;2600;HISTORIA DE CHILE ;
ABUSO Y PODER NUESTRA LUCHA CONTRA LA IGLESIA CATÓLICA;JAMES HAMILTON ;DEBATE;15900;ENSAYO;
ACERO Y PALOMA;ECHEVERRIA  MONICA;CATALONIA;12000;BIOGRAFIA;
ACTUAL MARX 68S;TIJOUX  MARIA EMILIA;LOM;9000;HISTORIA DE CHILE ;
ADELANTE;BUKOWSKI  CHARLES;VISOR LIBROS ;18500;POESIA;
ADIOS A LA NATURALEZA ;JORGE ENRIQUE;PLAZA Y VALDES;20000;VERDE ANIMAL;
ADIVINA QUIEN SOY ESTA NOCHE;MAXWELL  MEGAN;ESENCIA;19500;NOVELA ROMANTICA;
ADOLECENCIA RESPUESTAS PARA PADRES ;TRAUTMANN  ALBERTO ;CATALONIA;17000;PSICOLOGIA;
AGONIA DE UNA IRREVERENTE ;ECHEVERRIA  MONICA;CATALONIA;17000;BIOGRAFIA;
ALGO TAN SENCILLO COMO ESTAR CONTIGO;BLUE JEANS;PLANETA;19000;NOVELA ROMANTICA;
ALGUIEN CAMINA SOBRE TU TUMBA;MARIANA ENRIQUEZ;MONTACERDOS ;12900;LITERATURA LATINOAMERICANA;
ALIMENTACION PARA SANAR ;ZURSCHMITTEN  SUSANA;ALBATROS;18000;VERDE ANIMAL;
ALLENDE LA BIOGRAFIA ;AMOROS  MARIO;EDICIONES B;16000;BIOGRAFIA;
ALMANAQUE MAGICO;ENGEL  PEDRO;CATALONIA;15000;ASTROLOGIA;
ALMAS GRISIS ;CLAUDEL  PHILIPPE;LETRAS DE BOLSILLO;10000;LITERATURA UNIVERSAL;
ALTAZOR;HUIDOBRO  VICENTE;VISOR LIBROS ;11000;POESIA;
AMANDA LABARCA ;STUVEN ANA MARIA;HERDER;9000;FEMINISMO;
AMARTE  PENSAR Y EL AMOR DEL SIGLO XXI;CHIS OLIVEIRA;CATARATA;25400;FEMINISMO;
AMBERES ;BOLAÑO  ROBERTO;ALFAGUARA ;12000;LITERATURA CHILENA;
AMERICA LATINA EN EL SIGLO XXI;GARRETON  ANTONIO;LOM;9000;ENSAYO;
AMERICA LATINA EN LA GEOPOLITICA DEL IMPERIALISMO;BORON  ATILIO;AMERICA EN MOVIMIENTO ;16000;SOCIOLOGIA;
AMERICA LATINA:  VIOLENCIA EN LA HISTORIA ;GOICOVIC  IGOR;AMERICA EN MOVIMIENTO ;14000;HISTORIA DE CHILE ;
AMERICA MAGICA;JORGE MAGASICH;LOM;11800;HISTORIA ;
AMIGO IMAGINARIO;CHBOSKY  STEPHEN;PLANETA ;18500;TERROR / SUSPENSO ;
AMISTAD  AMOR Y MATRIMONIO;HENRY DAVID THOREAU;MONTACERDOS ;8900;ENSAYO;
AMOK;ZWEIG  STEFAN;ACANTILADO;20000;NOVELA HISTORICA;
AMOR;BUKOWSKI  CHARLES;VISOR LIBROS ;21800;POESIA;
AMOR LIBRE EL EROS Y LA ANARQUIA ;OSVALDO BAIGORRIA;TXALAPARTA;17500;FEMINISMO;
AMULETO;BOLAÑO  ROBERTO;DEBOLSILLO;8900;LITERATURA CHILENA;
ANA KARENINA;TOLSTOI  LEV;PENGUIN CLASICOS ;16500;LITERATURA UNIVERSAL;
ANARQUIA SEXUAL  FEMINISMO Y HOMOSEXUALIDAD;JOHANNA ELBERSKIRCHEN;PAIDOS;11900;FEMINISMO;
ANARQUISMO PARA PRINCIPIANTES ;MAYER MARCOS;LONGSELLER;14600;FILOSOFIA;
ANATOMIA DE UNA EPIDEMIA;ROBERT WHITAKER;CAPITÁN SWING;21000;ENSAYO;
ANATOMÍA DEL MIEDO;MARIANA  JOSE ANTONIO;ANAGRAMA;10000;PSICOLOGIA;
ANGELES Y SOLITARIOS;DIAZ ETEROVIC  RAMON ;LOM;11000;LITERATURA CHILENA;
ANGUSTIA;SALECL  RENATA;EDICIONES GODOT ;19900;ENSAYO;
ANSIEDAD  TOC Y CONDUCTAS PROBLEMATICAS EN AUTISMO;BAETTI  SILVIA;PAIDOS;14000;PSICOLOGIA;
ANSIOSO Y DESNUDO;VICENTE GUTIERREZ;LIBROS DE LA MUJER ROTA;10000;;
ANTEPARAISO;ZURITA  RAUL;VISOR LIBROS ;15200;POESIA;
ANTEPARAÍSO;RAÚL ZURITA;UDP;13000;POESÍA;
ANTES DE VOLVER A CAER;VALENZUELA  CAMILA;PLANETA;10000;LITERATURA CHILENA;
ANTIHISTORIA DE UN LUCHADOR;MONICA ECHEVERRIA YAÑEZ;LOM;19000;BIOGRAFIA;
ANTINOMIAS DE ANTONIO GRAMSCI  LAS;ANDERSON  PERRY;AKAL;22881;FILOSOFIA;
ANTOLOGIA DALTON ROQUE;DALTON  ROQUE;VISOR LIBROS ;17800;POESIA;
ANTOLOGIA ERRANTE;URIBE  ARMANDO;LUMEN;17500;POESIA;
ANTOLOGIA GARCIA LORCA;GARCIA LORCA   FEDERICO ;VISOR LIBROS ;15200;POESIA;
ANTOLOGIA GRAMSCI;GRAMSCI  ANTONIO ;AKAL;29000;FILOSOFIA;
ANTOLOGIA MIGUEL HERNANDEZ;HERNANDEZ  MIGUEL;VISOR LIBROS ;15200;POESIA;
ANTOLOGIA PABLO DE ROKHA;DE ROKHA  PABLO;LOM;2500;POESIA;
ANTOLOGIA PERSONAL ALBERTI RAFAEL + CD;ALBERTI  RAFAEL;VISOR LIBROS ;16000;POESIA;
ANTOLOGIA PERSONAL JULIO CORTAZAR + CD;CORTAZAR  JULIO;VISOR LIBROS ;14200;POESIA;
ANTOLOGIA PLATH SYLVIA;PLATH  SYLVIA;VISOR LIBROS ;18200;POESIA;
ANTOLOGIA POETICA;DICKINSOM  EMILY;LOSADA;14500;POESIA;
ANTOLOGIA POETICA;GARCIA LORCA   FEDERICO ;VISOR LIBROS ;15200;POESIA;
ANTOLOGIA POETICA  ERNESTO CARDENAL;ERNESTO  CARDENAL ;VISOR LIBROS ;17800;POESIA;
ANTOLOGIA POR LA HUMANIDAD FUTURA;MISTRAL  GABRIELA;LA POLLERA;13500;POESIA;
ANTONIO GRAMSCI. LA PASION DE ESTAR EN EL MUNDO;FUSARO  DIEGO;SIGLO XXI;22881;FILOSOFIA;
AÑOS INTERESANTES;HOBSBAWM  ERIC;CRITICA;23500;HISTORIA ;
APÓSTOLES DE LA VIOLENCIA;CAMILO ROVIRA BARBERIA;CERROJO;10000;HISTORIA ;
APROXIMACION AL JESUS HISTORICO;PIÑERO  ANTONIO;TROTTA;26000;MITOLOGIA;
AQUÍ SE FABRICAN POBRES ;RIVADENEIRA  CARLOS;LOM;8000;ENSAYO;
ARCHIVO EXPIATORIO;HAHN  OSCAR;VISOR LIBROS ;17000;POESIA;
ARDER EN EL AGUA  AHIGARSE EN EL FUEGO;BUKOWSKI  CHARLES;VISOR LIBROS ;15200;POESIA;
ARMANDO;FERNANDO PEREZ;TAKATUKA;16000;INFANTIL;
ARRESTEN AL SANTIGUINO;VERDUGO  MARIO;OVEROL ;14000;LITERATURA CHILENA;
