1984|ORWELL, GEORGE|DEBOLSILLO|10000 |Ciencia Ficción|En el año 1984 Londres es una ciudad lúgubre en la que la Policía delPensamiento controla de forma asfixiante la vida de los ciudadanos.Winston Smith es un peón de este engranaje perverso, su cometido esreescribir la historia para adaptarla a lo que el Partido considera laversión oficial de los hechos... hasta que decide replantearse la verdaddel sistema que los gobierna y somete.«Desde El proceso de Kafka ninguna obra fantástica ha alcanzado elhorror lógico de 1984.»Arthur Koestler
2666|BOLAÑO, ROBERTO|ALFAGUARA|20000 |LITERATURA CHILENA|La ciudad mexicana de Santa Teresa -trasunto de Ciudad Juárez- atrae como un imán a los protagonistas. Cuatro críticos literarios europeos viajan hasta Sonora tras las huellas del escritor desaparecido Benno von Archimboldi, cuya vida se refiere en la parte final de la novela. Allí conocerán a Amalfitano, el profesor universitario chileno que, junto con su hija, se establece en la ciudad, a la que también llegará el periodista estadounidense Oscar Fate para retransmitir un combate de boxeo. Pero el corazón del relato se encuentra en «La parte de los crímenes» donde, con la precisión de un bisturí, Bolaño narra los asesinatos de mujeres cometidos en Santa Teresa y las infructuosas investigaciones de la policía. En el epicentro del Mal, nada puede parar el horror.Con una fuerza arrolladora, en 2666 Bolaño crea una obra magistral que rompe con todas las tendencias literarias conocidas y abre el camino a seguir por la narrativa del siglo XXI. Violencia e historia se entretejen con temas recurrentes en la obra del autor: la literatura, la búsqueda y la crónica de la realidad.2666 fue galardonada con los premios Ciudad de Barcelona, Salambó, National Critics Circle Award y Altazor, calificada como uno de los mejores libros de 2008 por The New York Times y elegida por 81 críticos y escritores de España y Latinoamérica como uno de los mejores libros en lengua castellana de los últimos 25 años.
¿DE QUE TRIBU ERES?|ALBERTO MORAVIA|ALTAMAREA|24000 |LITERATURA LATINOAMERICANA|África es un continente que siempre ha atraído la atención de escritores e intelectuales. Alberto Moravia, uno de los autores italianos más destacados y prolíficos en el género de la literatura de viajes, lo visitó en numerosas ocasiones, casi siempre en compañía de Pier Paolo Pasolini, Dacia Maraini y Maria Callas, y plasmó sus vivencias en varios reportajes y artículos que constituyen una parte importante de la producción literaria del autor. Este libro reúne las crónicas —en su mayoría publicadas en la sección cultural del Corriere della Sera— de algunos de estos viajes «hechos por diversión, para evadirme y recoger un acervo de impresiones, la historia de una feliz y arrobada predisposición hacia África», como afirmó el mismo Moravia. Pero no se trata de una simple recopilación de artículos periodísticos: los textos aquí propuestos conforman una narración unitaria de una extraordinaria calidad literaria que se puede leer como un pequeño tratado antropológico y, a la vez, como una novela de aventuras con pasajes dramáticos, escenas melancólicas, momentos apasionados y anécdotas entrañables. El lector tiene entre las manos no solo un completo mapa de descripciones y observaciones sobre distintos lugares y culturas africanos, sino también un conjunto de afinadas reflexiones sociales, políticas y económicas cuya profundidad analítica sigue sorprendentemente vigente. Como el Stendhal de Paseos por Roma  —un libro de referencia para Moravia— el autor de estas páginas mira al otro, a lo desconocido para verse reflejado en él y así conocerse mejor a sí mismo y poner en tela de juicio Europa y su cultura.
¿HAY UN MUNDO POR VENIR?|DEBORAH DANOWSKI-EDUARDO VIVEIROS|CAJA NEGRA|19990 |SOCIOLOGIA|La filósofa Déborah Danowski y el antropólogo Eduardo Viveiros de Castro encuentran evidencia de estos esfuerzos míticos tanto en los libros de divulgación científica, las revistas académicas o los pronunciamientos de diversas organizaciones mundiales, como en la obra de Bruno Latour, Isabelle Stengers, Quentin Meillassoux o los aceleracionistas, y en blockbusters como Mad Max, La carretera o Melancolía. La conciencia compartida de que el proyecto occidental de una construcción social de la realidad se ejecutó bajo la forma desastrosa de una destrucción natural del planeta suscita la necesidad de repensar la relación entre lo humano y lo no humano bajo las visiones catastróficas de un mundo sin nosotros o de una humanidad sin mundo. Para esto, los autores recurren al pensamiento animista de los pueblos amazónicos –sobrevivientes de la catástrofe civilizatoria del colonialismo–, para quienes cada especie constituye un tipo de sociedad, y cada interacción transespecífica, un campo de negociación diplomática. Aquella expresión común en boca de los militantes de izquierda, “todo es político”, adquiere en el caso amerindio una literalidad extrema, ya que todo vínculo con el medioambiente involucra el ejercicio de una cosmopolítica.
¿PUEDE LA EDUCACION CAMBIAR LA SOCIEDAD?|APPLE, MICHAEL|LOM|12000 |ENSAYO|En esta obra inspiradora, Michael Apple sostiene que la educación puede cambiar la sociedad en clave solidaria y emancipatoria, siempre y cuando el trabajo sea sistemático y lúcido; si lo llevan a cabo comunidades comprometidas con la transformación social, y si estas lo conciben en primer lugar como camino de liberación de los más débiles y los más discriminados. Por tanto, la respuesta afirmativa a la pregunta que titula su libro es verosímil, pero también ardua, y exige una toma de posición política indiscutible e ineludible.
¿QUÉ ES EL PUEBLO?|BADIOU, ALAIN|LOM|6000 |SOCIOLOGIA|¿Qué es un pueblo? La pregunta que A. Badiou, P. Bourdieu, J. Butler, G. Didi-Huberman, S. Khiari y J. Rancière se plantean en este libro es tan sencilla como urgente: ¿tiene la noción de pueblo un rendimiento filosófico en la era del individuo o se limita a servir a los intentos por resucitar el orgullo nacional de las sociedades occidentales? Aunque cada uno de los autores se aproxime a los múltiples significados de la palabra mediante distintos enfoques, todos comparten un objetivo común: purgar el sentido de la noción de pueblo tanto de la identidad como de la generalidad y situarla del lado de la emancipación.
¿QUE ES LA POLITICA?|ARENDT, HANNAH|PAIDÓS|18000 |FILOSOFIA|Dos acontecimientos de los años veinte marcaron profundamente el pensamiento político de Hannah Arendt. Al primero de ellos lo denominó el «shock filosófico» —la filosofía de la existencia de Jaspers y de Heidegger— y, al segundo, el «shock de la realidad» —la consolidación del movimiento nacionalsocialista en Alemania, el surgimiento del totalitarismo—. Ambas experiencias ponen en movimiento su necesidad de comprender, un intento incesante de traducir al lenguaje de la experiencia el peligroso y a menudo brutal choque del hombre moderno con los hechos.
¿QUÉ ES METAFÍSICA?|HEIDEGGER, MARTÍN|ALIANZA|13201 |FILOSOFIA|El presente volumen reúne tres textos de Martin Heidegger (1889-1976) cuyo tema común es la pregunta por la metafísica, preocupación cardinal que recorre la obra del filósofo alemán y sin la cual cabe dudar que se sostuviera su filosofía. Ordenados según un criterio cronológico -como explican en su Nota editorial Arturo Leyte y Helena Cortés, traductores del volumen-, ¿Qué es metafísica? (1929) se presenta seguido de Epílogo a ¿Qué es metafísica?, escrito catorce años más tarde (1943), y, finalmente, de Introducción a ¿Qué es metafísica? (1949). Más allá de la anecdótica coincidencia temática de sus títulos, estos tres textos, que guardan entre sí una independencia notable aunque graviten entorno a un eje común, reflejan en la superficie la profundidad de un personal trayecto filosófico.
100 MITOS DE LA CULTURA GENERAL LAS|ÉRIC COBAST|AKAL|11200 |MITOLOGÍA|El mito es una herramienta poderosa: la razón requiere tiempo, atención, educación o un método; sin embargo, el mito requiere poco o nada de esfuerzo para que quede grabado en nuestro recuerdo y fijado como símbolo de nuestra cultura. Recurre a la imaginación, juega con la sensibilidad, se transmite con sencillez y eficacia; por eso es el vehículo ideal para la propagación de lo que se considera universal. Si bien, también es un arma formidable en manos de los demagogos. De esta manera tan ambivalente es como el mito estructura nuestra cultura.
16 CUENTOS LATINOAMERICANOS|CORTAZAR, JULIO|LOM|8600 |HISTORIA DE CHILE |Esta obra es una antología de nueva narrativa latinoamericana para jóvenes. Son cuentos desde los años sesenta con temas que de una u otra manera aluden a la adolescencia y a la juventud. Consta de dieciséis cuentos de reconocidos autores latinoamericanos. Argentina: La señorita Cora, Julio CortázarBolivia: El círculo, Óscar Cerruto; Brasil: El bloqueo, Murilo Rubião; Colombia: Un día de éstos, Gabriel García Márquez; Costa Rica: Uno en la llovizna, Rodrigo Soto; Cuba: Como un escolar sencillo, Senel Paz; Chile: El ciclista del San Cristóbal, Antonio Skármeta; Ecuador: Conciencia breve, Iván Egüez; Guatemala: La rana que quería ser una rana auténtica, Augusto Monterroso; México: La reina, José Emilio Pacheco; Nicaragua: El centerfielder, Sergio Ramírez; Perú: Con Jimmy, en Paracas, Alfredo Bryce Echenique;Puerto Rico: Flor de cocuyo, Magaly García Ramis; República dominicana: Ahora que vuelvo, Ton, René del Risco Bermúdez;Uruguay: Corazonada, Mario Benedetti; Venezuela: Un regalo para Julia, Francisco Massiani.
